,ano,stress,behavior,epigenetic,dna,gene,methylation,chromatin
1,1993,38,2,0,0,10,0,0
2,1994,55,3,0,0,17,0,0
3,1995,95,4,0,1,27,0,0
4,1996,93,7,0,2,32,0,0
5,1997,149,12,0,1,51,0,0
6,1998,168,22,0,0,59,0,0
7,1999,154,7,0,1,50,0,0
8,2000,217,16,2,3,68,0,0
9,2001,230,16,2,4,76,0,1
10,2002,256,36,0,3,73,0,0
11,2003,265,32,0,3,79,0,1
12,2004,312,27,1,3,110,0,0
13,2005,316,29,1,5,110,0,0
14,2006,285,31,0,4,103,0,0
15,2007,268,32,5,5,81,0,2
16,2008,285,29,3,2,95,0,1
17,2009,264,30,4,3,90,0,2
18,2010,324,42,11,7,115,1,2
19,2011,314,30,4,5,107,0,0
20,2012,307,40,12,12,112,3,4
21,2013,444,50,19,10,171,6,4
22,2014,421,50,16,13,178,5,2
23,2015,446,58,26,11,196,6,1
24,2016,497,59,17,6,184,5,3
25,2017,516,73,23,14,197,12,6
26,2018,609,81,20,10,236,5,3
27,2019,677,81,26,14,256,7,3
28,2020,774,101,22,12,278,5,2
29,2021,743,93,18,21,265,2,2
