,ano_pub,revista,publicações
0,1991,Biopolymers and Cell ,1
1,1991,Curr Neuropharmacol ,2
2,1992,Biopolymers and Cell ,8
3,1992,Curr Neuropharmacol ,8
5,1993,Biopolymers and Cell ,14
6,1993,Curr Neuropharmacol ,14
8,1994,Biopolymers and Cell ,24
9,1994,Curr Neuropharmacol ,18
11,1995,Biopolymers and Cell ,46
12,1995,Curr Neuropharmacol ,29
14,1996,Biopolymers and Cell ,44
15,1996,Curr Neuropharmacol ,21
17,1997,Biopolymers and Cell ,79
18,1997,Curr Neuropharmacol ,40
20,1998,Biopolymers and Cell ,89
21,1998,Curr Neuropharmacol ,35
23,1999,Biopolymers and Cell ,75
24,1999,Curr Neuropharmacol ,32
25,1999,Scientific Reports   ,1
27,2000,Biopolymers and Cell ,104
28,2000,Curr Neuropharmacol ,47
29,2000,Frontiers in Bioscience  ,1
30,2000,Scientific Reports   ,1
32,2001,Biol Cell   ,1
33,2001,Biopolymers and Cell ,103
34,2001,Curr Neuropharmacol ,43
35,2001,Frontiers in Bioscience  ,4
36,2001,Scientific Reports   ,2
38,2002,Biol Cell   ,1
39,2002,Biopolymers and Cell ,115
40,2002,Curr Neuropharmacol ,60
41,2002,Phys Rev Research   ,1
42,2002,Scientific Reports   ,2
44,2003,Biopolymers and Cell ,106
45,2003,Curr Neuropharmacol ,52
46,2003,Frontiers in Bioscience  ,1
47,2003,Scientific Reports   ,1
49,2004,Biopolymers and Cell ,103
50,2004,Curr Neuropharmacol ,84
51,2004,Frontiers in Bioscience  ,1
52,2004,Scientific Reports   ,1
54,2005,Biol Cell   ,1
55,2005,Biopolymers and Cell ,117
56,2005,Curr Neuropharmacol ,88
57,2005,Frontiers in Bioscience  ,2
58,2005,Phys Rev Research   ,2
59,2005,Scientific Reports   ,5
61,2006,Biopolymers and Cell ,98
62,2006,Curr Neuropharmacol ,65
63,2006,Frontiers in Bioscience  ,1
64,2006,Phys Rev Lett   ,1
65,2006,Phys Rev Research   ,1
66,2006,Scientific Reports   ,6
68,2007,Biopolymers and Cell ,92
69,2007,Curr Neuropharmacol ,52
70,2007,Frontiers in Bioscience  ,3
71,2007,Phys Rev Research   ,1
72,2007,Scientific Reports   ,6
74,2008,Biol Cell   ,1
75,2008,Biopolymers and Cell ,95
76,2008,Curr Neuropharmacol ,55
77,2008,Frontiers in Bioscience  ,4
78,2008,Phys Rev E   ,1
79,2008,Scientific Reports   ,5
81,2009,Biopolymers and Cell ,90
82,2009,Curr Neuropharmacol ,60
83,2009,Frontiers in Bioscience  ,4
84,2009,Phys Rev Lett   ,1
85,2009,Phys Rev Research   ,1
86,2009,Scientific Reports   ,4
88,2010,Biol Cell   ,1
89,2010,Biopolymers and Cell ,100
90,2010,Curr Neuropharmacol ,73
91,2010,Frontiers in Bioscience  ,4
92,2010,Phys Rev Lett   ,1
93,2010,Scientific Reports   ,6
95,2011,Biopolymers and Cell ,113
96,2011,Curr Neuropharmacol ,47
97,2011,Frontiers in Bioscience  ,4
98,2011,Phys Rev Lett   ,1
99,2011,Phys Rev Research   ,2
100,2011,Scientific Reports   ,5
102,2012,Biol Cell   ,2
103,2012,Biopolymers and Cell ,100
104,2012,Curr Neuropharmacol ,62
105,2012,Frontiers in Bioscience  ,2
106,2012,Scientific Reports   ,5
108,2013,Biol Cell   ,5
109,2013,Biopolymers and Cell ,120
110,2013,Curr Neuropharmacol ,88
111,2013,Frontiers in Bioscience  ,4
112,2013,Phys Rev E   ,2
113,2013,Phys Rev Lett   ,1
114,2013,Phys Rev Research   ,2
115,2013,Scientific Reports   ,13
117,2014,Biol Cell   ,2
118,2014,Biopolymers and Cell ,147
119,2014,Curr Neuropharmacol ,68
120,2014,Frontiers in Bioscience  ,2
121,2014,Phys Rev Research   ,1
122,2014,Scientific Reports   ,12
124,2015,Biol Cell   ,3
125,2015,Biopolymers and Cell ,154
126,2015,Curr Neuropharmacol ,61
127,2015,Frontiers in Bioscience  ,13
128,2015,Phys Rev E   ,1
129,2015,Phys Rev Lett   ,1
130,2015,Scientific Reports   ,9
132,2016,Biol Cell   ,2
133,2016,Biopolymers and Cell ,148
134,2016,Curr Neuropharmacol ,74
135,2016,Frontiers in Bioscience  ,8
136,2016,Phys Rev Lett   ,1
137,2016,Phys Rev Research   ,1
138,2016,Scientific Reports   ,14
140,2017,Biol Cell   ,3
141,2017,Biopolymers and Cell ,153
142,2017,Curr Neuropharmacol ,81
143,2017,Frontiers in Bioscience  ,9
144,2017,Phys Rev E   ,1
145,2017,Phys Rev Research   ,1
146,2017,Scientific Reports   ,16
148,2018,Biol Cell   ,3
149,2018,Biopolymers and Cell ,151
150,2018,Curr Neuropharmacol ,86
151,2018,Frontiers in Bioscience  ,11
152,2018,Phys Rev E   ,1
153,2018,Phys Rev Research   ,1
154,2018,Scientific Reports   ,24
156,2019,Biol Cell   ,5
157,2019,Biopolymers and Cell ,182
158,2019,Curr Neuropharmacol ,91
159,2019,Frontiers in Bioscience  ,9
160,2019,Phys Rev E   ,1
161,2019,Phys Rev Lett   ,3
162,2019,Phys Rev Research   ,5
163,2019,Scientific Reports   ,19
165,2020,Biol Cell   ,7
166,2020,Biopolymers and Cell ,183
167,2020,Curr Neuropharmacol ,98
168,2020,Frontiers in Bioscience  ,22
169,2020,Interface Focus  ,3
170,2020,Phys Rev E   ,3
171,2020,Phys Rev Lett   ,3
172,2020,Phys Rev Research   ,6
173,2020,Scientific Reports   ,27
175,2021,Biol Cell   ,6
176,2021,Biopolymers and Cell ,167
177,2021,Curr Neuropharmacol ,90
178,2021,Frontiers in Bioscience  ,13
179,2021,Phys Rev E   ,5
180,2021,Phys Rev Lett   ,2
181,2021,Phys Rev Research   ,3
182,2021,Scientific Reports   ,16
184,2022,Biol Cell   ,1
185,2022,Biopolymers and Cell ,13
186,2022,Curr Neuropharmacol ,4
187,2022,Phys Rev E   ,1
188,2022,Phys Rev Research   ,1
189,2022,Scientific Reports   ,3
